  Wakeup Alarm history(screen off): 
    rtc=2024-08-24 14:05:11.543 uid=15010264 tag=*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION 
    rtc=2024-08-24 14:07:00.544 uid=1000 tag=*walarm*:DeviceIdleController.deep.progression 
    rtc=2024-08-24 14:07:00.544 uid=1000 tag=*walarm*:DeviceIdleController.light 
    rtc=2024-08-24 14:07:00.545 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.CLOUD_SYNC_HEARTBEAT_NOTIFICATION 
    rtc=2024-08-24 14:07:00.546 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 14:09:49.525 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 14:12:36.524 uid=1000 tag=*walarm*:NotificationManagerService.TIMEOUT 
    rtc=2024-08-24 14:17:10.548 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 14:17:35.508 uid=1000 tag=*walarm*:android.appwidget.action.APPWIDGET_UPDATE 
    rtc=2024-08-24 14:17:35.532 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 14:18:31.502 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 14:21:34.519 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 14:23:42.635 uid=1073 tag=*walarm*:DhcpClient.wlan0.RENEW 
    rtc=2024-08-24 14:25:58.534 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 14:27:35.545 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 14:27:35.554 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 14:28:17.538 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 14:30:22.533 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 14:34:46.527 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 14:37:09.523 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 14:37:35.492 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 14:37:35.505 uid=10264 tag=*walarm*:com.google.android.gms.gcm.HEARTBEAT_ALARM 
    rtc=2024-08-24 14:37:35.506 uid=1000 tag=*walarm*:JS idleness 
    rtc=2024-08-24 14:46:00.529 uid=1000 tag=*walarm*:android.appwidget.action.APPWIDGET_UPDATE 
    rtc=2024-08-24 14:46:00.538 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 14:46:00.541 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 14:46:02.112 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 14:54:19.525 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 14:57:34.479 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 14:57:34.485 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 15:02:37.013 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 15:04:55.073 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 15:07:53.511 uid=1000 tag=*walarm*:DeviceIdleController.light 
    rtc=2024-08-24 15:07:53.511 uid=1000 tag=*walarm*:DeviceIdleController.deep.progression 
    rtc=2024-08-24 15:07:53.511 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.CLOUD_SYNC_HEARTBEAT_NOTIFICATION 
    rtc=2024-08-24 15:07:53.519 uid=10264 tag=*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION 
    rtc=2024-08-24 15:07:58.708 uid=1000 tag=*walarm*:com.samsung.android.location.lib.positioning.GpsStatusCheckListener 
    rtc=2024-08-24 15:08:23.696 uid=1000 tag=*walarm*:AlarmSingleReceiver_L/ccba9da/com.sec.android.daemonapp 
    rtc=2024-08-24 15:11:38.009 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 15:17:12.045 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 15:19:50.003 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 15:21:36.045 uid=10264 tag=*walarm*:FusedLocation:delay_request 
    rtc=2024-08-24 15:21:36.046 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 15:23:31.997 uid=1000 tag=*walarm*:android.appwidget.action.APPWIDGET_UPDATE 
    rtc=2024-08-24 15:23:32.039 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 15:23:32.042 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 15:23:43.975 uid=1073 tag=*walarm*:DhcpClient.wlan0.RENEW 
    rtc=2024-08-24 15:26:00.000 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 15:28:55.030 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 15:30:24.034 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 15:33:37.351 uid=10264 tag=*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION 
    rtc=2024-08-24 15:34:46.559 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 15:35:32.090 uid=1000 tag=*walarm*:DeviceIdleController.light 
    rtc=2024-08-24 15:35:32.092 uid=1000 tag=*walarm*:DeviceIdleController.deep.progression 
    rtc=2024-08-24 15:38:43.017 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 15:39:10.013 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 15:39:20.429 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 15:39:20.437 uid=1000 tag=*walarm*:DeviceIdleController.motion_registration 
    rtc=2024-08-24 15:43:52.022 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 15:50:20.956 uid=1000 tag=*walarm*:android.appwidget.action.APPWIDGET_UPDATE 
    rtc=2024-08-24 15:50:20.978 uid=1000 tag=*walarm*:DeviceIdleController.motion 
    rtc=2024-08-24 15:50:20.978 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
    rtc=2024-08-24 15:52:11.021 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 15:59:49.011 uid=1000 tag=*walarm*:com.android.server.audio.action.CHECK_MUSIC_ACTIVE 
    rtc=2024-08-24 16:00:54.025 uid=1000 tag=*walarm*:DeviceIdleController.deep.progression 
    rtc=2024-08-24 16:00:54.025 uid=1000 tag=*walarm*:DeviceIdleController.light 
    rtc=2024-08-24 16:01:48.082 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 16:07:52.183 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 16:08:03.735 uid=1000 tag=*walarm*:com.android.server.audio.action.CHECK_MUSIC_ACTIVE 
    rtc=2024-08-24 16:10:09.519 uid=1000 tag=*walarm*:com.samsung.android.location.lib.positioning.GpsStatusCheckListener 
    rtc=2024-08-24 16:22:06.566 uid=15010117 tag=*walarm*:android.intent.action.PROVIDER_CHANGED 
    rtc=2024-08-24 16:22:54.951 uid=10117 tag=*walarm*:android.intent.action.PROVIDER_CHANGED 
    rtc=2024-08-24 16:23:45.020 uid=1073 tag=*walarm*:DhcpClient.wlan0.RENEW 
    rtc=2024-08-24 16:24:05.081 uid=1000 tag=*walarm*:DeviceIdleController.deep.progression 
    rtc=2024-08-24 16:24:05.125 uid=1000 tag=*walarm*:DeviceIdleController.light 
    rtc=2024-08-24 16:28:03.020 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 17:15:36.578 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 17:16:00.302 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:17:00.324 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:17:13.482 uid=10667 tag=*walarm*:com.migratorydata.api_service_broadcast 
    rtc=2024-08-24 17:18:00.351 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:18:27.572 uid=1000 tag=*walarm*:com.sec.internal.ims.imsservice.alarmmanager 
    rtc=2024-08-24 17:19:00.375 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:19:59.046 uid=10264 tag=*walarm*:com.google.android.gms.wearable.node.bluetooth.RETRY_CONNECTION 
    rtc=2024-08-24 17:20:00.392 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:21:00.416 uid=10047 tag=*walarm*:AOD_CHARGING_INFO_TICK 
    rtc=2024-08-24 17:21:42.761 uid=10444 tag=*walarm*:com.kakao.talk/.service.MessengerService 
